risk_decile,n,observed_onset_rate,mean_predicted_prob
1,2534,0,8.429840561959816e-4
2,2534,7.892659826361484e-4,9.521643032700726e-4
3,2534,0,0.0010477376171135258
4,2534,0,0.0011969239990586465
5,2534,0.0011838989739542227,0.0015271385238417648
6,2534,0.007892659826361484,0.00405383828430435
7,2534,0.0027624309392265192,0.009980736235873835
8,2533,0.013422818791946308,0.01234445260781216
9,2533,0.016975917883932098,0.01612555424785538
10,2533,0.04224240031583103,0.03768429211536459
