method,auroc_mean,auroc_sd,auprc_mean,auprc_sd,rmse_mean,rmse_sd,n_folds_with_auroc,n_folds_with_auprc,n_folds_with_rmse
bayes_mcmc,0.6815877506958601,0.16243606752578532,0.062428374144344025,0.08203998261181714,NA,NA,4,4,0
glm_em,0.6822980957473835,0.1641538535857478,0.060401431742986456,0.08209141943046276,354.32672812933106,394.2582890404174,4,4,4
