method,auroc_mean,auprc_mean,rmse_mean,coverage_mean,n_folds_with_auroc,n_folds_with_auprc,n_folds_with_rmse
bayes_mcmc,0.6815877506958601,0.062428374144344025,NA,NA,4,4,0
glm_em,0.6822980957473835,0.060401431742986456,354.32672812933106,NA,4,4,4
